1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
0902059k, Nic, Kearns, 0902059k@student.gla.ac.uk, CS, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
1, John, Doe, john.doe@student.gla.ac.uk, ESE, 3, false, 3, anacademic, 48, 300, true, 1, null, true, 31.12.12
